Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","RCE5C1H220J0K1H03B","Cap Ceramic 22pF 50V C0G ±5% Radial 5mm +125°C Automotive Bulk","C1, C2, C3, C4","CMP-06035-047580-1","New From Design","Up to date","4","Murata","RCE5C1H220J0K1H03B","Volume Production","Mouser","81-RCE5C1H220J0K1H3B","0.54","2.16"
"","Capacitor 0.1 uF +/- 5% 16 V 0402","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)","C5, C6, C7, C8, C9, C10","CMP-001-00001-6","Draft","Up to date","6","Murata","GRM155R71C104JA88D","Not Recommended for New Design","Mouser","81-GRM155R71C104JA8D","0.023","0.23"
"","NHD-14432WG-BTFH-V#T","- Graphic LCD Display Module Transflective Black (White - Inverted) FSTN - Film Super-Twisted Nematic Parallel, 8-Bit - 144 x 32","DS1","CMP-007-00039-1","Draft","Up to date","1","","","","","","",""
"","61729-1011BLF","USB Receptacle B Type, Right Angle, 4 Position, Height 11.5 mm,-40 to 85 degC, RoHS, Tube","J1","CMP-002-00041-2","Draft","Up to date","1","Amphenol Communications Solutions","61729-1011BLF","Volume Production","Avnet","61729-1011BLF","0.74228","0.74228"
"","691701510004B","Terminal Block, 5.08MM, Close Vertical Pcb Header, Thr Type, 4 Pins","P1, P2","CMP-1502-02331-3","Released","Up to date","2","Wurth Elektronik","691701510004B","Unknown","Mouser","710-691701510004B","3.11","6.22"
"","Resistor 1K +/-5 % 0402 63 mW","Chip Resistor, 1 kOhms, +/-5 %, 63 mW, -55 to 155 degC, 0402","R1, R2, R3","CMP-009-00157-3","Draft","Up to date","3","Bourns","CR0402-JW-102GLF","Volume Production","Arrow Electronics","CR0402-JW-102GLF","0.0007","0.0434"
"","PTS645SM43SMTR92LFS","SWITCH TACTILE SPST-NO 0.05A 12V","SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW?","CMP-2000-05160-2","New From Design","Up to date","20","C&K Components","PTS645SM43SMTR92LFS","Volume Production","Farnell","3941596","0.28277","5.66"
"","EG1218","Slide Switch, SPDT, 500 V, -20 to 70 degC, 3-Pin THD, RoHS, Bulk","SW17","CMP-011-00006-2","Draft","Up to date","1","E-Switch","EG1218","Volume Production","DigiKey","EG1903-ND","0.72","0.72"
"","STM32F103C8T6","MCU 32-bit STM32F1 ARM Cortex M3 RISC 64KB Flash 2.5V/3.3V 48-Pin LQFP Tray","U1","CMP-00001-1","Draft","Up to date","1","STMicroelectronics","STM32F103C8T6","Volume Production","Arrow Electronics","STM32F103C8T6","2.54","2.54"
"","LD1117V33","Low Drop Positive Voltage Regulator, 800 mA, Fixed 3.3 V Output, 0 to 125 degC, 3-Pin TO-220, RoHS, Tube","U2","CMP-019-00020-3","Draft","Up to date","1","STMicroelectronics","LD1117V33","Volume Production","Arrow Electronics","LD1117V33","0.4029","0.4029"
"","ABLS-8.000MHZ-B2-T","CRYSTAL 8.0000MHZ 18PF SMD","Y1","CMP-27762-009874-1","New From Design","Up to date","1","Abracon","ABLS-8.000MHZ-B2-T","Volume Production","RS (Formerly Allied Electronics)","ABLS-8.000MHZ-B2-T","0.08","0.08"
